CustomerID,Lookalikes
C0001,"[('C0177', 0.9999999848631079), ('C0127', 0.9999999845474193), ('C0012', 0.9999999813451149)]"
C0002,"[('C0003', 0.9999998770103186), ('C0062', 0.9999998750956173), ('C0030', 0.9999998657876807)]"
C0003,"[('C0031', 0.999999962672191), ('C0002', 0.9999998770103186), ('C0075', 0.9999998666386807)]"
C0004,"[('C0175', 0.9999999801354358), ('C0017', 0.9999999695543604), ('C0162', 0.999999969121501)]"
C0005,"[('C0069', 0.9999999786704178), ('C0007', 0.9999999313607857), ('C0127', 0.9999999181984466)]"
C0006,"[('C0079', 0.999999999869063), ('C0051', 0.9999999785211595), ('C0100', 0.9999999771918582)]"
C0007,"[('C0064', 0.999999942892985), ('C0152', 0.9999999369879938), ('C0163', 0.9999999361623322)]"
C0008,"[('C0113', 0.9999999925381394), ('C0075', 0.9999999865065343), ('C0190', 0.9999999794849265)]"
C0009,"[('C0198', 0.9999999901629575), ('C0092', 0.9999993850734735), ('C0020', 0.9999993729866584)]"
C0010,"[('C0049', 0.9999998210678243), ('C0091', 0.9999995066531382), ('C0094', 0.9999992942079358)]"
C0011,"[('C0107', 0.9999999847833091), ('C0105', 0.9999999822467244), ('C0101', 0.9999999814705227)]"
C0012,"[('C0018', 0.9999999907748699), ('C0065', 0.9999999885477011), ('C0001', 0.9999999813451149)]"
C0013,"[('C0099', 0.9999999914287069), ('C0054', 0.9999999894752394), ('C0082', 0.999999988785475)]"
C0014,"[('C0144', 0.9999968835618915), ('C0043', 0.9999962050120097), ('C0134', 0.9999960618154475)]"
C0015,"[('C0131', 0.9999998672884234), ('C0123', 0.9999997983387631), ('C0167', 0.9999997210325205)]"
C0016,"[('C0074', 0.9999999921151633), ('C0040', 0.9999999647464044), ('C0115', 0.9999999625330869)]"
C0017,"[('C0169', 0.999999999774255), ('C0113', 0.9999999880819389), ('C0039', 0.9999999839381692)]"
C0018,"[('C0012', 0.9999999907748699), ('C0041', 0.9999999832396261), ('C0045', 0.9999999819056652)]"
C0019,"[('C0075', 0.9999998585992005), ('C0027', 0.9999998579944416), ('C0008', 0.9999998339213318)]"
C0020,"[('C0130', 0.9999998298120051), ('C0120', 0.9999996927304761), ('C0005', 0.9999996858178151)]"
